,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
8,Argentina,806.414,854.8308,846.0566,866.407,844.6376,867.706,849.6548,873.6024,850.7368,833.7147,750.8164,828.8882,874.3154
11,Australia,972.1682,999.0316,1036.675,1059.516,1086.639,1111.445,1141.365,1168.583,1201.46,1224.822,1202.535,1265.23,1310.553
12,Austria,408.1216,420.5186,423.5815,423.5195,426.934,431.0821,439.6518,449.8876,460.7572,467.5802,436.8796,457.5096,479.2738
18,Belgium,488.3986,496.6756,500.3465,502.6446,510.5802,521.0027,527.6019,536.1464,545.7599,557.9879,528.0719,560.4647,578.0524
26,Brazil,2846.833,2963.238,3010.962,3107.761,3124.066,3013.557,2907.924,2955.067,3004.955,3041.514,2932.676,3088.628,3182.208
29,Bulgaria,123.5594,126.4718,127.0963,126.3435,127.7803,132.0383,136.0981,139.8885,143.8882,149.5296,143.53,153.6874,159.2878
36,Canada,1433.923,1479.035,1505.08,1540.136,1584.338,1594.782,1610.752,1659.717,1705.808,1738.017,1649.824,1732.51,1791.233
40,Chile,334.6857,355.1882,378.0301,390.0527,396.8059,405.31,412.0042,418.5155,435.3794,438.4558,411.2175,459.9588,472.9074
42,Colombia,501.4985,536.3421,557.328,585.9404,612.3028,630.4002,643.5599,652.309,669.0363,690.3567,641.6993,710.2137,766.9918
48,Croatia,98.7099,98.66873,96.43816,96.06139,95.64193,97.97822,101.5198,104.9524,107.8789,111.6322,102.4112,115.3803,122.5696
50,Cyprus,29.32137,29.44359,28.42838,26.55596,26.08422,26.976,28.74949,30.39776,32.11458,33.89033,32.40893,34.56007,36.41114
53,Denmark,261.4837,264.9793,265.5794,268.0582,272.3992,278.7805,287.8294,295.9512,301.8392,306.3473,300.2369,314.8153,324.4292
62,Estonia,32.5118,34.87311,35.9987,36.52361,37.62374,38.38899,39.57197,41.73065,43.33971,44.90254,44.70101,48.31775,48.15998
68,Finland,232.046,237.9589,234.6322,232.5176,231.6669,232.9297,239.4785,247.1269,249.9412,253.0001,247.0718,254.4238,259.0958
73,France,2580.293,2637.358,2646.955,2665.028,2690.756,2719.15,2745.848,2813.076,2864.398,2918.354,2687.674,2869.579,2943.559
79,Germany,3573.291,3715.872,3738.768,3759.308,3842.434,3890.03,3973.245,4091.809,4132.979,4177.845,4008.092,4111.756,4190.22
84,Greece,355.1952,319.3036,296.198,288.8995,290.5841,289.6581,288.2722,291.3279,295.8072,301.293,275.0561,297.4656,311.7375
97,Hungary,238.06,242.5288,239.8542,244.2817,254.3789,263.6729,269.3307,281.3078,296.5004,310.8975,296.1599,317.2299,332.5267
98,Iceland,14.24588,14.50883,14.66315,15.33068,15.58935,16.281,17.30729,18.03333,18.91494,19.37183,18.04635,18.84094,19.99585
99,India,5222.764,5583.073,5866.951,6227.634,6663.926,7163.966,7807.886,8282.129,8883.02,9284.868,8641.058,9379.105,10048.79
103,Ireland,235.2926,240.7732,240.5578,244.3081,264.4196,324.812,332.1482,363.6752,395.7714,418.0427,441.6536,500.8389,563.9958
105,Italy,2318.042,2338.054,2267.516,2225.279,2227.024,2241.423,2273.198,2312.778,2331.09,2342.298,2129.114,2272.136,2361.17
107,Japan,4936.587,4938.347,5005.882,5108.252,5119.228,5200.86,5238.336,5327.835,5361.58,5340.402,5108.998,5222.489,5291.592
116,Latvia,41.66229,42.7348,45.74425,46.66277,47.55052,49.398,50.56781,52.24281,54.32832,55.72469,54.49698,56.71377,57.6387
121,Lithuania,69.5236,73.77608,76.583,79.37669,82.13336,83.78399,85.9119,89.58364,93.16877,97.47801,97.45669,103.2857,105.8816
122,Luxembourg,55.27211,55.84088,56.75276,58.54789,60.08295,61.454,64.51945,65.37363,66.19295,67.73356,67.20442,70.63047,72.11643
133,Mexico,1927.224,1997.982,2066.566,2099.24,2159.19,2230.743,2284.178,2337.527,2388.544,2384.068,2188.953,2297.174,2367.308
144,Netherlands,820.6364,833.2569,824.6667,823.9801,835.7771,852.1342,870.3852,896.5722,917.3374,934.8982,898.6306,942.3995,982.347
147,New Zealand,148.6447,151.2145,155.1967,158.6222,163.8397,170.5885,177.6236,184.8125,192.5042,198.6714,196.8666,207.9286,213.6388
153,North Macedonia,25.4856,26.08193,25.96295,26.72243,27.69222,28.76,29.57914,29.89912,30.76039,31.96319,30.01002,31.19969,31.85945
155,Norway,285.5634,288.7218,296.5884,299.5987,307.5411,313.2413,315.4473,324.6683,328.5494,332.1988,326.0246,338.9478,350.4502
164,Poland,881.0494,925.4496,940.4456,952.71,983.7929,1020.71,1051.857,1102.632,1161.075,1211.134,1186.294,1266.582,1340.058
165,Portugal,320.5292,315.0924,302.3083,299.5189,301.8918,307.3017,313.5076,324.5003,333.7462,342.7,314.2538,331.4829,353.7379
169,Romania,373.77,390.3459,397.9599,398.3674,414.9041,428.194,440.6531,477.3259,504.7653,524.0372,507.4745,534.4378,558.4188
181,Serbia,101.4132,103.4783,102.773,105.7459,104.065,105.951,109.4728,111.7518,116.7865,121.7786,120.7107,129.5621,133.7461
186,Slovenia,63.90219,64.63325,63.00295,62.39874,64.0228,65.28302,67.43099,70.88979,74.12795,76.67437,72.93066,78.9637,82.87185
192,Spain,1622.76,1609.548,1561.876,1539.987,1561.511,1621.423,1670.675,1720.412,1759.691,1794.591,1591.345,1679.227,1771.162
196,Sweden,431.4537,445.5136,444.2599,449.3549,461.7547,481.3274,490.206,503.9831,514.1917,524.542,512.2717,536.9815,552.1189
197,Switzerland,495.168,504.5477,510.6147,520.0194,532.0346,540.4574,551.7131,559.6006,575.6209,582.3191,567.67,591.665,603.5394
219,United Kingdom,2533.64,2560.689,2597.779,2645.056,2729.689,2795.014,2855.531,2925.308,2975.185,3022.916,2689.463,2893.794,3012.303
220,United States,16383.04,16636.95,17016.4,17329.82,17726.25,18206.02,18509.63,18924.57,19481.94,19928.97,19377.36,20529.63,20957.03
