Country,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,137590.832,139172.17,137915.225,139188.1171,132462.313,137574.6216,151547.5057,127566.086
Australia,241062.0316,245911.3671,245281.239,247769.7985,251773.4472,252024.5702,255973.9964,240607.86169999998
Austria,61957.722,64960.518000000004,68093.591,65383.7108,70773.9122,68627.874,67234.1303,59747.152
Belgium,67379.3,82456.997,83116.901,71984.3002,89913.3999,86055.1,96056.878,84016.7532
Brazil,564061.9569999999,563307.719,573079.821,585760.1424,611385.7128,606880.1157,636952.041,586139.5603
Bulgaria,44727.001000000004,41221.004,41347.142,42711.2903,40346.135,37234.936,43457.8108,41781.8835
Canada,638493.999,644436.994,644141.001,635394.0001000001,627229.0001,623468.4198,625950.9376,576896.6488
Chile,72028.999,76453.99799999999,77028.199,79882.471,82100.1769,81920.7324,85571.1604,80347.312
Colombia,76121.996,74461.27,77385.716,77688.1507,78078.7039,77087.0685,81054.1058,70152.8126
Croatia,10983.0,12284.001,11522.899,13181.6,12250.1,12875.1001,14688.5176,12464.7553
Cyprus,4313.516,4667.638,4778.279,4827.281,4913.788,4650.3171,4821.8396,4663.3712
Czech Republic,76915.99799999999,76398.444,79885.765,80861.141,80116.4329,75067.2749,78180.5403,70384.5715
Denmark,27921.142,29081.069,29638.3,29314.299899999998,28689.8181,27700.367,32793.9424,29943.7293
Estonia,9062.0,10433.679,11248.49,10932.8022,6600.1,5100.292,6476.4953000000005,5687.7549
Finland,66153.524,66203.234,65043.187,67532.668,66052.4785,66599.4321,69398.7135,62751.1382
France,555126.785,540419.76,537849.221,557797.81,547040.4799,509249.7246,535399.7836,406840.5908
Germany,610292.0,614332.0,619053.007,608912.0,575863.9999,544893.9999,562719.6588,505089.3304
Greece,47806.001,50226.808000000005,50589.214,50083.654200000004,45556.9999,43034.9191,52596.3022,45508.746
Hungary,28150.033,29548.009,30698.996,29866.0,32137.0001,32913.9999,34184.837,31300.658
IEA Total,10296112.7656,10364332.8561,10395781.997,10605380.4228,10457286.8023,10182377.611200001,10480614.709,9858301.501
Iceland,18557.999,18171.608,18846.295,19432.498,19119.7931,18778.6941,19262.9883,18023.5719
India,1203381.5693,1351113.5843,1405865.0564,1519537.8767,1533937.8877,1503466.002,1625370.5781,1511089.4476
Ireland,27625.311999999998,29691.592,30092.489999999998,30352.2921,30274.292,31519.8088,34077.9188,30222.887600000002
Italy,272428.421,279702.622,285265.65,279844.619,283950.056,271647.989,276581.5441,255463.93839999998
Japan,1031009.024,1029574.571,1031342.946,1052870.9264,1004931.3746999999,968715.0721999999,980408.5938,979896.7147
Korea,528964.001,540083.741,545796.0109999999,566845.0531,559099.4668,556911.2979,545252.5564,513035.4855
Latvia,5092.805,5926.58,7023.844,6202.9533,5946.965,5441.6725,5536.275,4149.8743
Lithuania,4676.312,4051.478,3996.1,3314.3002,3764.6001,5079.61,4564.7795,3856.1017
Luxembourg,2737.556,2167.385,2204.533,2171.1869,1877.127,2209.6704,2274.6136,2007.9171000000001
Mexico,297776.947,302875.992,308933.134,340878.0,330690.0571,336320.6838,346958.2436,309396.2596
Netherlands,105902.363,110988.995,113425.14,110692.10519999999,117571.7589,119643.4642,120439.939,107686.7732
New Zealand,42895.304,42601.415,43012.211,43157.5932,43525.2059,43182.479,43109.905699999996,39205.1163
North Macedonia,5277.999,5284.253,5226.866,5282.7528999999995,5500.8141,5032.7568,5185.5963,4819.9933
Norway,143903.999,148479.0,148763.003,146237.6011,134665.7502,153651.7266,157419.4328,131104.7066
OECD Americas,5193640.941,5217672.873,5193490.657,5370770.0189,5313671.3348,5170557.6475,5359755.948,5146709.9322999995
OECD Asia Oceania,1843930.3606,1858171.0941,1865432.407,1910643.3708,1859329.495,1820833.4197,1824745.0523,1772745.1782
OECD Europe,3444530.524,3479048.867,3532539.8680000002,3522615.0762,3484755.9657,3390504.386,3515156.3523,3134538.5795
OECD Total,10482101.8256,10554892.8341,10591462.932,10804028.4656,10657756.7951,10381895.4529,10699657.3524,10053993.6893
People's Republic of China,5559038.57,5876042.121,6363983.118,6770658.1225000005,7119023.3227,7433853.1249,8064720.2767,7658348.0353
Poland,150694.999,152002.167,154869.334,155259.6711,151362.9691,146150.551,167773.7385,149585.25699999998
Portugal,50940.181000000004,58861.817,57668.975,58197.2161,52185.1999,52278.2652,48947.2574,43212.5014
Republic of Turkiye,249900.0,261937.102,284257.51900000003,289436.765,289135.7589,300240.6606,316669.86830000003,287404.689
Romania,61277.0,60255.998,59355.427,60175.5165,55177.2085,51923.7176,54963.8773,46648.5897
Serbia,35638.998,36628.0,34298.552,34783.407,34564.952,35273.8721,35797.4894,29312.6959
Slovak Republic,24758.0,24997.002,25692.005,24863.0,26366.0,26162.3319,27215.1272,22823.807
Slovenia,14187.261,15546.521999999999,15396.881000000001,15441.970000000001,15224.354,16289.673999999999,15114.114,11553.5026
Spain,269750.999,264343.996,264917.996,263827.0,263795.9999,254591.0,263072.2291,261085.75530000002
Sweden,159044.999,152530.563,160525.99599999998,159677.0001,165645.0,159888.6503,166245.9552,155922.6574
Switzerland,66117.65,61693.255,61650.323,67450.7861,71739.189,70004.7109,64002.3997,59466.3577
United Kingdom,327447.163,323896.665,322727.112,317545.727,309386.5301,297682.9231,290916.8917,289697.8569
United States,4109219.0,4119444.619,4086002.607,4236927.397,4195573.397,4051760.743,4207717.5004,4098451.7839
